"","season","week","half","even_wk","team","result","win","tie","loss"
"1",1999,1,"first","odd","Atlanta Falcons",-3,0,0,1
"2",1999,1,"first","odd","Chicago Bears",3,1,0,0
"3",1999,1,"first","odd","Cleveland Browns",-43,0,0,1
"4",1999,1,"first","odd","Green Bay Packers",4,1,0,0
"5",1999,1,"first","odd","Indianapolis Colts",17,1,0,0
"6",1999,1,"first","odd","Jacksonville Jaguars",38,1,0,0
"7",1999,1,"first","odd","New Orleans Saints",9,1,0,0
"8",1999,1,"first","odd","New York Jets",-2,0,0,1
"9",1999,1,"first","odd","Philadelphia Eagles",-1,0,0,1
"10",1999,1,"first","odd","Seattle Seahawks",-8,0,0,1
"11",1999,1,"first","odd","St. Louis Rams",17,1,0,0
"12",1999,1,"first","odd","Tampa Bay Buccaneers",-4,0,0,1
"13",1999,1,"first","odd","Tennessee Titans",1,1,0,0
"14",1999,1,"first","odd","Washington Redskins",-6,0,0,1
"15",1999,1,"first","odd","Denver Broncos",-17,0,0,1
"16",1999,2,"first","even","Baltimore Ravens",-3,0,0,1
"17",1999,2,"first","even","Buffalo Bills",14,1,0,0
"18",1999,2,"first","even","Carolina Panthers",-2,0,0,1
"19",1999,2,"first","even","Chicago Bears",-1,0,0,1
"20",1999,2,"first","even","Cincinnati Bengals",-27,0,0,1
"21",1999,2,"first","even","Detroit Lions",8,1,0,0
"22",1999,2,"first","even","Kansas City Chiefs",16,1,0,0
"23",1999,2,"first","even","Miami Dolphins",3,1,0,0
"24",1999,2,"first","even","Minnesota Vikings",-5,0,0,1
"25",1999,2,"first","even","New England Patriots",3,1,0,0
"26",1999,2,"first","even","New York Giants",-29,0,0,1
"27",1999,2,"first","even","Philadelphia Eagles",-14,0,0,1
"28",1999,2,"first","even","San Francisco 49ers",7,1,0,0
"29",1999,2,"first","even","Tennessee Titans",17,1,0,0
"30",1999,2,"first","even","Dallas Cowboys",17,1,0,0
"31",1999,3,"first","odd","Baltimore Ravens",7,1,0,0
"32",1999,3,"first","odd","Buffalo Bills",26,1,0,0
"33",1999,3,"first","odd","Carolina Panthers",24,1,0,0
"34",1999,3,"first","odd","Green Bay Packers",3,1,0,0
"35",1999,3,"first","odd","Jacksonville Jaguars",-1,0,0,1
"36",1999,3,"first","odd","Kansas City Chiefs",10,1,0,0
"37",1999,3,"first","odd","New England Patriots",2,1,0,0
"38",1999,3,"first","odd","New York Jets",-7,0,0,1
"39",1999,3,"first","odd","Oakland Raiders",7,1,0,0
"40",1999,3,"first","odd","Pittsburgh Steelers",-19,0,0,1
"41",1999,3,"first","odd","San Diego Chargers",-8,0,0,1
"42",1999,3,"first","odd","St. Louis Rams",28,1,0,0
"43",1999,3,"first","odd","Tampa Bay Buccaneers",3,1,0,0
"44",1999,3,"first","odd","Arizona Cardinals",-14,0,0,1
"45",1999,4,"first","even","Atlanta Falcons",-6,0,0,1
"46",1999,4,"first","even","Chicago Bears",4,1,0,0
"47",1999,4,"first","even","Cincinnati Bengals",-28,0,0,1
"48",1999,4,"first","even","Cleveland Browns",-12,0,0,1
"49",1999,4,"first","even","Dallas Cowboys",28,1,0,0
"50",1999,4,"first","even","Denver Broncos",-8,0,0,1
"51",1999,4,"first","even","Minnesota Vikings",7,1,0,0
"52",1999,4,"first","even","New York Giants",1,1,0,0
"53",1999,4,"first","even","Pittsburgh Steelers",-14,0,0,1
"54",1999,4,"first","even","San Diego Chargers",7,1,0,0
"55",1999,4,"first","even","San Francisco 49ers",2,1,0,0
"56",1999,4,"first","even","Seattle Seahawks",1,1,0,0
"57",1999,4,"first","even","Washington Redskins",2,1,0,0
"58",1999,4,"first","even","Miami Dolphins",-5,0,0,1
"59",1999,5,"first","odd","Arizona Cardinals",11,1,0,0
"60",1999,5,"first","odd","Buffalo Bills",3,1,0,0
"61",1999,5,"first","odd","Cleveland Browns",-1,0,0,1
"62",1999,5,"first","odd","Detroit Lions",-10,0,0,1
"63",1999,5,"first","odd","Green Bay Packers",3,1,0,0
"64",1999,5,"first","odd","Indianapolis Colts",-3,0,0,1
"65",1999,5,"first","odd","Kansas City Chiefs",2,1,0,0
"66",1999,5,"first","odd","Minnesota Vikings",-2,0,0,1
"67",1999,5,"first","odd","New Orleans Saints",-3,0,0,1
"68",1999,5,"first","odd","Oakland Raiders",-3,0,0,1
"69",1999,5,"first","odd","Philadelphia Eagles",3,1,0,0
"70",1999,5,"first","odd","St. Louis Rams",22,1,0,0
"71",1999,5,"first","odd","Tennessee Titans",3,1,0,0
"72",1999,5,"first","odd","New York Jets",-10,0,0,1
"73",1999,6,"first","even","Arizona Cardinals",-14,0,0,1
"74",1999,6,"first","even","Atlanta Falcons",-28,0,0,1
"75",1999,6,"first","even","Buffalo Bills",-6,0,0,1
"76",1999,6,"first","even","Chicago Bears",-4,0,0,1
"77",1999,6,"first","even","Cincinnati Bengals",-14,0,0,1
"78",1999,6,"first","even","Denver Broncos",21,1,0,0
"79",1999,6,"first","even","Detroit Lions",2,1,0,0
"80",1999,6,"first","even","Jacksonville Jaguars",17,1,0,0
"81",1999,6,"first","even","New England Patriots",-1,0,0,1
"82",1999,6,"first","even","New Orleans Saints",-3,0,0,1
"83",1999,6,"first","even","New York Jets",-3,0,0,1
"84",1999,6,"first","even","San Diego Chargers",3,1,0,0
"85",1999,6,"first","even","San Francisco 49ers",-2,0,0,1
"86",1999,6,"first","even","New York Giants",3,1,0,0
"87",1999,7,"first","odd","Baltimore Ravens",-27,0,0,1
"88",1999,7,"first","odd","Carolina Panthers",-15,0,0,1
"89",1999,7,"first","odd","Dallas Cowboys",18,1,0,0
"90",1999,7,"first","odd","Indianapolis Colts",21,1,0,0
"91",1999,7,"first","odd","Miami Dolphins",3,1,0,0
"92",1999,7,"first","odd","Minnesota Vikings",24,1,0,0
"93",1999,7,"first","odd","New England Patriots",1,1,0,0
"94",1999,7,"first","odd","New York Giants",28,1,0,0
"95",1999,7,"first","odd","Oakland Raiders",1,1,0,0
"96",1999,7,"first","odd","San Diego Chargers",-28,0,0,1
"97",1999,7,"first","odd","Seattle Seahawks",10,1,0,0
"98",1999,7,"first","odd","St. Louis Rams",31,1,0,0
"99",1999,7,"first","odd","Tampa Bay Buccaneers",3,1,0,0
"100",1999,7,"first","odd","Pittsburgh Steelers",4,1,0,0
"101",1999,8,"first","even","Arizona Cardinals",-24,0,0,1
"102",1999,8,"first","even","Atlanta Falcons",7,1,0,0
"103",1999,8,"first","even","Baltimore Ravens",-3,0,0,1
"104",1999,8,"first","even","Cincinnati Bengals",-31,0,0,1
"105",1999,8,"first","even","Denver Broncos",-3,0,0,1
"106",1999,8,"first","even","Detroit Lions",17,1,0,0
"107",1999,8,"first","even","Indianapolis Colts",10,1,0,0
"108",1999,8,"first","even","Kansas City Chiefs",34,1,0,0
"109",1999,8,"first","even","New Orleans Saints",-5,0,0,1
"110",1999,8,"first","even","Oakland Raiders",-7,0,0,1
"111",1999,8,"first","even","Philadelphia Eagles",-6,0,0,1
"112",1999,8,"first","even","Tennessee Titans",3,1,0,0
"113",1999,8,"first","even","Washington Redskins",26,1,0,0
"114",1999,8,"first","even","Green Bay Packers",-20,0,0,1
"115",1999,9,"first","odd","Atlanta Falcons",-23,0,0,1
"116",1999,9,"first","odd","Carolina Panthers",26,1,0,0
"117",1999,9,"first","odd","Cleveland Browns",-32,0,0,1
"118",1999,9,"first","odd","Detroit Lions",4,1,0,0
"119",1999,9,"first","odd","Green Bay Packers",-1,0,0,1
"120",1999,9,"first","odd","Indianapolis Colts",8,1,0,0
"121",1999,9,"first","odd","Miami Dolphins",17,1,0,0
"122",1999,9,"first","odd","New Orleans Saints",-15,0,0,1
"123",1999,9,"first","odd","New York Jets",5,1,0,0
"124",1999,9,"first","odd","San Diego Chargers",-16,0,0,1
"125",1999,9,"first","odd","San Francisco 49ers",-21,0,0,1
"126",1999,9,"first","odd","Seattle Seahawks",17,1,0,0
"127",1999,9,"first","odd","Washington Redskins",-17,0,0,1
"128",1999,9,"first","odd","Minnesota Vikings",10,1,0,0
"129",1999,10,"second","even","Arizona Cardinals",4,1,0,0
